"trial","log10n","n","index","t","k","x1","x2","x3","abs_x2x3","abs_x2x3_quantile","radius_quantile","leverage","leverage_quantile","leverage_x_n_over_p","residual","std_residual","deriv_error","deriv_error_quantile","y","fitted"
18,4.8,63096,19120,191.2,2.58953971682291,-18.7355983595135,1.02181524995216,12.2850668107624,12.5530686139182,0.949426271078991,0.999968302269557,0.00119644471541471,0.998652846456194,25.1636252546021,-22.1924697357044,-54.3013430311241,-25.567232137352,0.999968302269557,65.5546634487199,87.7471331844242
18,4.8,63096,19121,191.21,3.4548450545945,-17.5071223138073,3.2511479650452,10.4711694397359,34.0433212156407,0.994991758590085,0.999920755673894,0.00238530965271019,0.999793964752124,50.1678326158008,-25.3352579653109,-61.9912317078892,-28.0607471684923,0.999984151134779,119.628735020205,144.963992985516
18,4.8,63096,19122,191.22,1.66457538937707,-15.9188223206844,4.9868771903086,8.23964471308083,41.0900962759096,0.998034740712565,0.999809813617345,0.00280887292267122,0.999920755673894,59.0762153096211,-16.8126066148671,-41.1376980531577,-17.4494956038649,0.999936604539115,146.237108493453,163.04971510832
18,4.8,63096,33270,332.7,0.625649784313417,-13.3068335221516,-7.01549422217432,9.62359012425813,67.5142409133068,0.999904906808673,0.999587929504247,0.00230083497877545,0.99974641815646,48.3911612736054,8.96805172387107,21.9433555065443,10.6076869009495,0.99987320907823,-138.775757220698,-147.74380894457
18,4.8,63096,33271,332.71,0.676491492502778,-14.6717772271952,-5.60868483035335,10.4889737051515,58.8293477060584,0.999714720426018,0.999841511347788,0.00163331380427205,0.999334347660708,34.3518559314498,9.93350008551212,24.3056497121308,11.943086427882,0.999889057943451,-108.489505527243,-118.423005612756
19,4.8,63096,32401,324.01,0.649377105345914,14.0357507002969,-6.67726133962064,-10.6073729301842,70.8282011816573,0.99987320907823,0.999825662482566,0.00298468228315208,0.999857360213009,62.7738377792545,-9.06096109562569,-24.1209111425824,-10.5840278799684,0.999857360213009,131.867601869995,140.92856296562
19,4.8,63096,32402,324.02,0.540438423595359,15.3159997789528,-5.26848778867384,-11.3756032852294,59.9322269970292,0.999778115886902,0.999857360213009,0.00199955363931411,0.999683022695575,42.0546121420545,-9.11246444700629,-24.2580166603179,-10.7214586186907,0.99987320907823,99.8790671477557,108.991531594762
19,4.8,63096,32406,324.06,0.552182394507567,15.6895771433129,1.4330004156839,-9.7573406132068,13.9822731546948,0.960472930138202,0.999809813617345,0.00102654274386407,0.998034740712565,21.590246988949,10.2592391283901,27.3108109387942,11.4185207647926,0.999889057943451,-71.9693477671381,-82.2285868955283
19,4.8,63096,43116,431.16,1.56032403201137,13.9918342181632,-9.23065789366741,-10.9165619383282,100.767048627739,1,0.99987320907823,0.00653889453067311,1,137.526029769117,-13.1021950381388,-34.878958087603,-14.2352414412053,0.999936604539115,206.629629305533,219.731824343671
19,4.8,63096,43117,431.17,3.72050896248854,16.1384056752527,-7.72668465862079,-12.428421027896,96.0304900871241,0.999984151134779,0.999936604539115,0.00552018947753921,0.999968302269557,116.100625091605,-21.2388337663106,-56.5392585447228,-24.367289074605,0.999984151134779,178.773132476251,200.011966242562
19,4.8,63096,43118,431.18,2.95769006553179,17.9376428258099,-5.74301338104475,-13.562560973215,77.889969150409,0.999936604539115,0.999968302269557,0.00330093608797724,0.999889057943451,69.4252878023373,-19.4936139969354,-51.8933616539726,-23.5043338342955,0.999968302269557,127.242641013334,146.73625501027
19,4.8,63096,43120,431.2,0.552232542623588,19.2547062534606,-0.893666007795736,-13.5875668860962,12.1427466547551,0.946462533282617,0.999984151134779,0.000570373738654108,0.992503486750349,11.9961004713732,10.6408359731517,28.3266483855775,12.0870350047488,0.999904906808673,-13.78533379559,-24.4261697687417
19,4.8,63096,43121,431.21,2.96220497559184,18.5887021348346,1.45221121102061,-12.3044124930936,17.8686057674926,0.977573855711931,0.999952453404336,0.00147076354696963,0.999318498795486,30.9330989198652,21.6731032977075,57.6953143613419,24.8074392754116,1,-77.7516914903014,-99.424794788009
