"trial","sweep","log10n","n","snr","design","term","degree","is_truth","vif"
1,"n",5,1e+05,49,"full","x1 x2^4",5,FALSE,3486.37503376889
1,"n",5,1e+05,49,"full","x2^5",5,FALSE,16602.804795622
1,"n",5,1e+05,49,"full","x1^4 x3",5,FALSE,12674.015038406
1,"n",5,1e+05,49,"full","x1^3 x2 x3",5,FALSE,2697.2557566423
1,"n",5,1e+05,49,"full","x1^2 x2^2 x3",5,FALSE,2539.22253111153
1,"n",5,1e+05,49,"full","x1 x2^3 x3",5,FALSE,2232.65187621209
1,"n",5,1e+05,49,"full","x2^4 x3",5,FALSE,6367.4938350469
1,"n",5,1e+05,49,"full","x1^3 x3^2",5,FALSE,17494.5760003134
1,"n",5,1e+05,49,"full","x1^2 x2 x3^2",5,FALSE,6178.14068651453
1,"n",5,1e+05,49,"full","x1 x2^2 x3^2",5,FALSE,7898.24711391053
1,"n",5,1e+05,49,"full","x2^3 x3^2",5,FALSE,16224.9974374576
1,"n",5,1e+05,49,"full","x1^2 x3^3",5,FALSE,26303.4306398673
1,"n",5,1e+05,49,"full","x1 x2 x3^3",5,FALSE,15731.6923237025
1,"n",5,1e+05,49,"full","x2^2 x3^3",5,FALSE,41111.7880812198
1,"n",5,1e+05,49,"full","x1 x3^4",5,FALSE,44986.4259763226
1,"n",5,1e+05,49,"full","x2 x3^4",5,FALSE,70099.9790839979
1,"n",5,1e+05,49,"full","x3^5",5,FALSE,56658.2855323696
1,"n",5,1e+05,49,"trimmed","x1",1,FALSE,732.276218541724
1,"n",5,1e+05,49,"trimmed","x2",1,FALSE,1382.45294172626
1,"n",5,1e+05,49,"trimmed","x3",1,TRUE,1634.35710975992
1,"n",5,1e+05,49,"trimmed","x1^2",2,TRUE,4853.11113474493
1,"n",5,1e+05,49,"trimmed","x1 x2",2,FALSE,1933.18192783517
1,"n",5,1e+05,49,"trimmed","x2^2",2,TRUE,4270.40021958482
1,"n",5,1e+05,49,"trimmed","x1 x3",2,FALSE,14676.7839483909
1,"n",5,1e+05,49,"trimmed","x2 x3",2,FALSE,16090.0473427358
1,"n",5,1e+05,49,"trimmed","x3^2",2,FALSE,13893.1056264892
1,"n",5,1e+05,49,"trimmed","x1^3",3,FALSE,9026.08125896806
1,"n",5,1e+05,49,"trimmed","x1^2 x2",3,FALSE,6031.66044187296
1,"n",5,1e+05,49,"trimmed","x1 x2^2",3,FALSE,5639.90699710122
1,"n",5,1e+05,49,"trimmed","x2^3",3,FALSE,22088.2820875127
1,"n",5,1e+05,49,"trimmed","x1^2 x3",3,TRUE,15915.9376191396
1,"n",5,1e+05,49,"trimmed","x1 x2 x3",3,FALSE,10106.4848658456
1,"n",5,1e+05,49,"trimmed","x2^2 x3",3,TRUE,15786.2441609486
1,"n",5,1e+05,49,"trimmed","x1 x3^2",3,FALSE,16027.4681800323
1,"n",5,1e+05,49,"trimmed","x2 x3^2",3,FALSE,14613.1986466384
1,"n",5,1e+05,49,"trimmed","x3^3",3,TRUE,26199.3440469356
1,"n",5,1e+05,49,"trimmed","x1^4",4,FALSE,8320.59867038637
1,"n",5,1e+05,49,"trimmed","x1^3 x2",4,FALSE,1761.53372358549
1,"n",5,1e+05,49,"trimmed","x1^2 x2^2",4,FALSE,1820.01980708759
1,"n",5,1e+05,49,"trimmed","x1 x2^3",4,FALSE,1295.59066311918
1,"n",5,1e+05,49,"trimmed","x2^4",4,FALSE,6077.44220127511
1,"n",5,1e+05,49,"trimmed","x1^3 x3",4,TRUE,26643.9047659604
1,"n",5,1e+05,49,"trimmed","x1^2 x2 x3",4,FALSE,10793.3436506774
1,"n",5,1e+05,49,"trimmed","x1 x2^2 x3",4,FALSE,10346.8012755198
1,"n",5,1e+05,49,"trimmed","x2^3 x3",4,FALSE,23330.5471738227
1,"n",5,1e+05,49,"trimmed","x1^2 x3^2",4,FALSE,36142.3881336172
1,"n",5,1e+05,49,"trimmed","x1 x2 x3^2",4,FALSE,22588.2107410595
1,"n",5,1e+05,49,"trimmed","x2^2 x3^2",4,FALSE,70146.0157636527
1,"n",5,1e+05,49,"trimmed","x1 x3^3",4,FALSE,90292.0374362715
1,"n",5,1e+05,49,"trimmed","x2 x3^3",4,FALSE,159153.076877884
1,"n",5,1e+05,49,"trimmed","x3^4",4,FALSE,175051.770137166
1,"n",5,1e+05,49,"trimmed","x1^5",5,FALSE,9817.65612062226
1,"n",5,1e+05,49,"trimmed","x1^4 x2",5,FALSE,4287.89314930541
1,"n",5,1e+05,49,"trimmed","x1^3 x2^2",5,FALSE,2695.48099422747
1,"n",5,1e+05,49,"trimmed","x1^2 x2^3",5,FALSE,3923.18187243548
1,"n",5,1e+05,49,"trimmed","x1 x2^4",5,FALSE,3486.37503376889
1,"n",5,1e+05,49,"trimmed","x2^5",5,FALSE,16602.804795622
1,"n",5,1e+05,49,"trimmed","x1^4 x3",5,FALSE,12674.015038406
1,"n",5,1e+05,49,"trimmed","x1^3 x2 x3",5,FALSE,2697.2557566423
1,"n",5,1e+05,49,"trimmed","x1^2 x2^2 x3",5,FALSE,2539.22253111153
1,"n",5,1e+05,49,"trimmed","x1 x2^3 x3",5,FALSE,2232.65187621209
1,"n",5,1e+05,49,"trimmed","x2^4 x3",5,FALSE,6367.4938350469
1,"n",5,1e+05,49,"trimmed","x1^3 x3^2",5,FALSE,17494.5760003134
1,"n",5,1e+05,49,"trimmed","x1^2 x2 x3^2",5,FALSE,6178.14068651453
1,"n",5,1e+05,49,"trimmed","x1 x2^2 x3^2",5,FALSE,7898.24711391053
1,"n",5,1e+05,49,"trimmed","x2^3 x3^2",5,FALSE,16224.9974374576
1,"n",5,1e+05,49,"trimmed","x1^2 x3^3",5,FALSE,26303.4306398673
1,"n",5,1e+05,49,"trimmed","x1 x2 x3^3",5,FALSE,15731.6923237025
1,"n",5,1e+05,49,"trimmed","x2^2 x3^3",5,FALSE,41111.7880812198
1,"n",5,1e+05,49,"trimmed","x1 x3^4",5,FALSE,44986.4259763226
1,"n",5,1e+05,49,"trimmed","x2 x3^4",5,FALSE,70099.9790839979
1,"n",5,1e+05,49,"trimmed","x3^5",5,FALSE,56658.2855323696
1,"n",5,1e+05,49,"truth","x3",1,TRUE,9.21677739895227
1,"n",5,1e+05,49,"truth","x1^2",2,TRUE,4.25041783875063
1,"n",5,1e+05,49,"truth","x2^2",2,TRUE,2.3791718362025
1,"n",5,1e+05,49,"truth","x1^2 x3",3,TRUE,5.03231286340564
