"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
12,4.4,25119,49,"min/min",34,FALSE,29,29,FALSE,FALSE,23,"x1;x2;x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1 x2^2;x2^3;x2 x3^2;x3^3;x1^2 x2^2;x1 x2^3;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x3^3"
12,4.4,25119,49,"min/1se",23,FALSE,18,23,FALSE,FALSE,17,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x1 x2^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2;x1^2 x3^3"
12,4.4,25119,49,"1se/1se",23,FALSE,18,23,FALSE,FALSE,17,"x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x1 x2^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2;x1^2 x3^3"
13,4.4,25119,49,"min/min",23,TRUE,16,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x2 x3;x1^3;x1^2 x2;x1^2 x3;x1 x2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x3^4;x1^4 x2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1^3 x3^2;x1^2 x2 x3^2"
13,4.4,25119,49,"min/1se",29,FALSE,23,24,FALSE,FALSE,17,"x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x2 x3^2;x1 x2^2 x3^2;x2^3 x3^2;x1 x3^4"
13,4.4,25119,49,"1se/1se",30,FALSE,24,27,FALSE,FALSE,20,"x1;x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x2 x3^2;x1 x2^2 x3^2;x1 x3^4"
14,4.4,25119,49,"min/min",31,FALSE,25,22,FALSE,FALSE,15,"x1;x3;x1^2;x2^2;x2 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x1^5;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x2^3 x3^2"
14,4.4,25119,49,"min/1se",19,FALSE,14,19,FALSE,FALSE,13,"x3;x1^2;x2^2;x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^3 x2^2;x1^2 x2^3;x2^5;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
14,4.4,25119,49,"1se/1se",18,FALSE,13,18,FALSE,FALSE,12,"x3;x1^2;x2^2;x2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^3 x2^2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
15,4.4,25119,49,"min/min",23,FALSE,18,20,FALSE,FALSE,14,"x1;x2;x3;x1^2;x2^2;x3^2;x1^2 x2;x1 x2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2"
15,4.4,25119,49,"min/1se",17,FALSE,12,18,FALSE,FALSE,12,"x3;x1^2;x2^2;x1 x3^2;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
15,4.4,25119,49,"1se/1se",17,FALSE,12,18,FALSE,FALSE,12,"x3;x1^2;x2^2;x1 x3^2;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
16,4.4,25119,49,"min/min",20,TRUE,13,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1^3;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x2^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
16,4.4,25119,49,"min/1se",15,FALSE,10,16,FALSE,FALSE,10,"x3;x1^2;x2^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
