"trial","sweep","log10n","n","snr","design","p","kappa","vif_max","vif_median","n_vif_gt10"
14,"snr",3.69897000433602,5000,50,"trimmed",34,161.405869070787,1521.10887702509,60.2385339339178,30
14,"snr",3.69897000433602,5000,50,"truth",7,9.22824909238456,7.55143021835369,3.10459393217253,0
14,"snr",3.69897000433602,5000,50,"selected",12,14.4463210739672,17.5424489783674,4.79772459335163,4
14,"snr",3.69897000433602,5000,55,"full",55,693.416066305846,19971.4022162119,374.834938231775,55
14,"snr",3.69897000433602,5000,55,"trimmed",34,161.201338457561,1517.56074331737,60.2605017920662,30
14,"snr",3.69897000433602,5000,55,"truth",7,9.22770288888638,7.55125782150012,3.10452487388204,0
14,"snr",3.69897000433602,5000,55,"selected",23,48.9578704137224,110.528955347983,9.8284661047206,11
14,"snr",3.69897000433602,5000,60,"full",55,693.444157795891,19972.8908473836,375.405602234831,55
14,"snr",3.69897000433602,5000,60,"trimmed",34,161.22206437948,1518.00048126286,60.2950833193582,30
14,"snr",3.69897000433602,5000,60,"truth",7,9.2281361034277,7.55228971984334,3.10424239344266,0
14,"snr",3.69897000433602,5000,60,"selected",17,38.3859941085732,89.1138475369679,12.8386815937844,10
14,"snr",3.69897000433602,5000,Inf,"full",55,693.575867630151,19980.9259679803,375.301655469598,55
14,"snr",3.69897000433602,5000,Inf,"trimmed",55,693.575867630151,19980.9259679803,375.301655469598,55
14,"snr",3.69897000433602,5000,Inf,"truth",7,9.22810139997871,7.55210015499472,3.10457520205748,0
14,"snr",3.69897000433602,5000,Inf,"selected",29,118.802691619179,723.273902750503,33.9980072245447,21
15,"snr",3.69897000433602,5000,1,"full",55,254.264968013364,2784.65984401324,33.8083586636461,53
15,"snr",3.69897000433602,5000,1,"trimmed",34,75.1541024436104,344.718053503709,11.3078970887453,19
15,"snr",3.69897000433602,5000,1,"truth",7,7.8216594973709,4.84436174910425,2.81701003743209,0
15,"snr",3.69897000433602,5000,5,"full",55,524.094157071954,10095.2810736686,69.2694629354891,55
15,"snr",3.69897000433602,5000,5,"trimmed",55,524.094157071954,10095.2810736686,69.2694629354891,55
15,"snr",3.69897000433602,5000,5,"truth",7,9.23466267173874,6.20598777648238,3.0676873101098,0
15,"snr",3.69897000433602,5000,5,"selected",9,12.5282145001507,24.0553795347639,4.75201043741269,4
15,"snr",3.69897000433602,5000,10,"full",55,832.947116113879,23895.0218577972,122.034406128749,55
15,"snr",3.69897000433602,5000,10,"trimmed",9,11.1135147474322,10.4989886303775,2.41914732376805,2
15,"snr",3.69897000433602,5000,10,"truth",7,10.007207176415,7.31558420126679,3.50477613818546,0
15,"snr",3.69897000433602,5000,10,"selected",4,10.6285087078632,9.68717031949358,5.32917276879408,0
15,"snr",3.69897000433602,5000,15,"full",55,1553.98454495883,73971.0010886964,254.228126044589,55
15,"snr",3.69897000433602,5000,15,"trimmed",55,1553.98454495883,73971.0010886964,254.228126044589,55
15,"snr",3.69897000433602,5000,15,"truth",7,10.5248381509719,8.0482953670342,3.5042185201385,0
15,"snr",3.69897000433602,5000,15,"selected",10,16.2455646535754,20.0770900865869,3.19872648985416,2
15,"snr",3.69897000433602,5000,20,"full",55,1996.65653409706,118473.680296328,427.649185009468,55
15,"snr",3.69897000433602,5000,20,"trimmed",55,1996.65653409706,118473.680296328,427.649185009468,55
15,"snr",3.69897000433602,5000,20,"truth",7,10.8218411899025,8.46875196747459,3.59297548323015,0
15,"snr",3.69897000433602,5000,20,"selected",7,9.02280582760639,5.67410246651616,2.94580247291291,0
15,"snr",3.69897000433602,5000,25,"full",55,2277.46328933963,151546.841501721,619.629334438336,55
15,"snr",3.69897000433602,5000,25,"trimmed",55,2277.46328933963,151546.841501721,619.629334438336,55
15,"snr",3.69897000433602,5000,25,"truth",7,10.8270526126233,8.43899372651782,3.62481272706481,0
15,"snr",3.69897000433602,5000,25,"selected",7,9.63077532297994,6.82200211762453,2.28114310913457,0
15,"snr",3.69897000433602,5000,30,"full",55,2478.08187434432,178197.808284515,734.652562829242,55
15,"snr",3.69897000433602,5000,30,"trimmed",55,2478.08187434432,178197.808284515,734.652562829242,55
15,"snr",3.69897000433602,5000,30,"truth",7,10.8785826203828,8.51687272533829,3.60316065672101,0
15,"snr",3.69897000433602,5000,30,"selected",15,93.7475382445729,532.973215857998,10.4268653584579,8
15,"snr",3.69897000433602,5000,35,"full",55,2508.62900399207,183825.492258047,832.581842129643,55
15,"snr",3.69897000433602,5000,35,"trimmed",55,2508.62900399207,183825.492258047,832.581842129643,55
15,"snr",3.69897000433602,5000,35,"truth",7,10.8855068389369,8.53370712894733,3.58958285326399,0
15,"snr",3.69897000433602,5000,35,"selected",12,89.2810385552718,486.056328511559,17.0608989606102,7
15,"snr",3.69897000433602,5000,40,"full",55,2548.05718646243,188558.145144805,846.860935395305,55
