"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
2,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x1 x3^3;x3^4;x1^3 x2 x3;x1^2 x2^2 x3",TRUE,FALSE,TRUE,14.5323691368103
3,"n",4.4,25119,49,55,5,"x1;x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x3^3",TRUE,FALSE,TRUE,14.1203873157501
4,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4",TRUE,FALSE,TRUE,14.3586483001709
5,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1 x2^2 x3^2",TRUE,FALSE,FALSE,14.6083846092224
6,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x3^4;x1^2 x2^2 x3",TRUE,FALSE,TRUE,15.3906166553497
7,"n",4.4,25119,49,55,5,"x1;x2;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1^3 x3^2;x2^2 x3^3",TRUE,FALSE,TRUE,14.6495246887207
8,"n",4.4,25119,49,55,5,"x3;x1^2;x2^2;x1^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,FALSE,13.8968307971954
9,"n",4.4,25119,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x1^3 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4;x3^5",TRUE,FALSE,FALSE,14.5780699253082
0,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,8.95292472839355
1,"n",4.2,15849,49,55,5,"x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1 x2^2;x2^3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^5;x1^3 x2^2;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3",TRUE,FALSE,FALSE,9.15065479278564
2,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^3 x3;x1^2 x3^2;x3^4;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3",TRUE,FALSE,TRUE,9.81144905090332
3,"n",4.2,15849,49,55,5,"x1;x2;x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x3^3",TRUE,FALSE,TRUE,8.84307217597961
4,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4;x2^4 x3",TRUE,FALSE,TRUE,9.13134431838989
5,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3",TRUE,FALSE,FALSE,8.92435455322266
6,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4;x1^2 x2^2 x3",TRUE,FALSE,TRUE,8.8933961391449
7,"n",4.2,15849,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x2^2 x3^3",TRUE,FALSE,TRUE,9.20522689819336
8,"n",4.2,15849,49,55,5,"x1;x2;x3;x1^2;x2^2;x2 x3;x3^2;x1^3;x1^2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3",TRUE,FALSE,TRUE,9.34911561012268
9,"n",4.2,15849,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x2^2 x3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^2 x2^3;x1 x2^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4;x3^5",TRUE,FALSE,FALSE,9.03564143180847
