"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.06213869816219e-08,0.200000000978458,0.199999680054152,0.2000002836799,0.200000013313413,3.61284016388603e-08,5535811.27979626,9.9295899404381e-07,0.480951114695386,9.93011426678593e-07,2.95065782149439e-08,1.02377406647657e-06,1.17104460343742e-05,3.694979429245
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.3205239982893e-06,0.200000352837654,0.199999964595778,0.20000071826371,0.200000354317842,2.26980321518776e-07,881135.214628277,4.21641938091804e-06,0.42138102843534,4.2164212538938e-06,-1.81935074593741e-07,1.76621505151231e-05,0.000116832875643513,67.3808352947235
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.38793268386917e-09,0.200000006083049,0.199999822130966,0.200000173006158,0.20000000710968,3.53749175301103e-08,5653723.6288804,6.57805716152238e-07,-0.354505828333186,6.57805882471366e-07,3.12406537609913e-08,6.63684481694726e-07,6.69577774486951e-06,26.6454675197601
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.27450395374133e-05,0.200007696218005,0.200005613969614,0.200009756358405,0.200007708455839,1.26580785089716e-06,158007.953824968,3.47799208630185e-05,0.716357107632803,3.47799494495324e-05,-4.7081092070921e-06,0.000342918171397579,0.00247209006589061,14.2888009548187
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.74059072527438e-07,0.199999977734765,0.199999072570586,0.200000847830254,0.199999946878461,5.40297491128011e-07,370166.343843111,1.48496259993846e-05,0.511739959288458,1.48496293107753e-05,2.95065782149439e-08,1.02377406647657e-06,1.17104460343742e-05,23.8424534797668
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.04575560713849e-06,0.200000316817151,0.19999939377364,0.200001236419026,0.200000307605999,5.51203947269088e-07,362842.662134208,1.02392444725364e-05,0.0122078792192402,1.02392660940692e-05,-1.81935074593741e-07,1.76621505151231e-05,0.000116832875643513,34.121903181076
"rossler",3,7,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.35874315806344e-07,0.199999953104305,0.199999099107971,0.200000841450424,0.19999996970147,5.38494714009427e-07,371405.632215674,1.00134480875543e-05,-0.328122663073413,1.00134541107976e-05,3.12406537609913e-08,6.63684481694726e-07,6.69577774486951e-06,31.3077054023743
"rossler",3,8,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.47260800294573e-05,0.199982917825607,0.199966326474037,0.200000578389674,0.199982995753981,1.01554557898016e-05,19692.1733394586,0.000677527690896153,0.841662148903709,0.000677527792944349,4.28375063955632e-06,0.000707662762627598,0.0249266712934741,4.01487970352173
"rossler",3,8,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.33621916316764e-05,0.200008363065587,0.200007648089647,0.200009072157198,0.200008362530167,4.20426434069968e-07,475727.371835238,1.13940368706877e-05,0.855641869651161,1.13940465808222e-05,-1.07448345535881e-05,0.000249941577263084,0.00172536785777738,16.9575252532959
"rossler",3,8,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.91384917808324e-08,0.200000022896374,0.199999598807255,0.200000507406312,0.200000012182514,2.33901209866478e-08,8550618.96843901,6.34063727717329e-07,0.468221589136002,6.34083875079853e-07,2.10881551461254e-08,6.75549226086233e-07,7.54261672958334e-06,3.5957944393158
